Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Logan Gilbert,27,SEA,AL,2.8,9,12,.429,3.23,33,33,0,1,0,0,208.2,148,83,75,26,37,1,220,4,0,11,803,113,3.27,0.887,6.4,1.1,1.6,9.5,5.95,ASCYA-6,gilbelo01
2,Seth Lugo,34,KCR,AL,5.4,16,9,.640,3.00,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,137,3.25,1.089,7.7,0.7,2.1,7.9,3.77,ASCYA-2MVP-15GG,lugose01
3,Logan Webb,27,SFG,NL,3.6,13,10,.565,3.47,33,33,0,1,1,0,204.2,202,83,79,11,50,3,172,2,1,4,841,111,2.95,1.231,8.9,0.5,2.2,7.6,3.44,ASCYA-6,webblo01
4,Zack Wheeler,34,PHI,NL,6.1,16,7,.696,2.57,32,32,0,0,0,0,200.0,139,62,57,20,52,0,224,8,0,8,787,165,3.13,0.955,6.3,0.9,2.3,10.1,4.31,ASCYA-2MVP-12,wheelza01
5,Aaron Nola,31,PHI,NL,3.7,14,8,.636,3.57,33,33,0,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,119,3.94,1.199,8.5,1.4,2.3,8.9,3.94,CYA-11,nolaaa01
6,Corbin Burnes,29,BAL,AL,3.5,15,9,.625,2.92,32,32,0,0,0,0,194.1,165,76,63,22,48,0,181,2,3,7,784,131,3.55,1.096,7.6,1.0,2.2,8.4,3.77,ASCYA-5,burneco01
7,José Berríos,30,TOR,AL,2.3,16,11,.593,3.60,32,32,0,1,0,0,192.1,168,79,77,31,54,1,153,13,0,1,786,114,4.72,1.154,7.9,1.5,2.5,7.2,2.83,,berrijo01
8,Tarik Skubal*,27,DET,AL,6.4,18,4,.818,2.39,31,31,0,0,0,0,192.0,142,54,51,15,35,0,228,9,0,2,753,172,2.49,0.922,6.7,0.7,1.6,10.7,6.51,ASCYA-1MVP-7,skubata01
9,George Kirby,26,SEA,AL,2.0,14,11,.560,3.53,33,33,0,0,0,0,191.0,181,82,75,22,23,0,179,7,1,5,778,104,3.26,1.068,8.5,1.0,1.1,8.4,7.78,,kirbyge01
10,Dylan Cease,28,SDP,NL,4.1,14,11,.560,3.47,33,33,0,1,1,0,189.1,137,80,73,18,65,0,224,2,0,12,762,118,3.10,1.067,6.5,0.9,3.1,10.6,3.45,CYA-4MVP-22,ceasedy01
11,Jake Irvin,27,WSN,NL,1.9,10,14,.417,4.41,33,33,0,0,0,0,187.2,173,97,92,29,52,1,156,4,1,5,769,91,4.41,1.199,8.3,1.4,2.5,7.5,3.00,,irvinja01
12,Cole Ragans*,26,KCR,AL,5.0,11,9,.550,3.14,32,32,0,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,131,2.99,1.143,7.1,0.7,3.2,10.8,3.33,ASCYA-4,raganco01
13,Pablo López,28,MIN,AL,2.5,15,10,.600,4.08,32,32,0,0,0,0,185.1,180,90,84,26,41,0,198,8,0,3,772,103,3.65,1.192,8.7,1.3,2.0,9.6,4.83,,lopezpa01
14,Kutter Crawford,28,BOS,AL,1.9,9,16,.360,4.36,33,33,0,0,0,0,183.2,155,97,89,34,51,0,175,9,0,4,759,95,4.65,1.122,7.6,1.7,2.5,8.6,3.43,,crawfku01
15,Luis Severino,30,NYM,NL,1.7,11,7,.611,3.91,31,31,0,1,1,0,182.0,166,86,79,23,60,0,161,11,2,6,761,99,4.21,1.242,8.2,1.1,3.0,8.0,2.68,,severlu01
16,Sean Manaea*,32,NYM,NL,3.0,12,6,.667,3.47,32,32,0,0,0,0,181.2,134,75,70,21,63,0,184,9,0,4,738,111,3.83,1.084,6.6,1.0,3.1,9.1,2.92,CYA-11,manaese01
17,Brandon Pfaadt,25,ARI,NL,0.4,11,10,.524,4.71,32,32,0,0,0,0,181.2,183,103,95,24,42,1,185,4,0,1,760,90,3.61,1.239,9.1,1.2,2.1,9.2,4.40,,pfaadbr01
18,Cristopher Sánchez*,27,PHI,NL,3.4,11,9,.550,3.32,31,31,0,2,1,0,181.2,182,76,67,11,44,0,153,0,1,7,754,127,3.00,1.244,9.0,0.5,2.2,7.6,3.48,ASCYA-10,sanchcr01
19,Kevin Gausman,33,TOR,AL,0.9,14,11,.560,3.83,31,31,0,2,1,0,181.0,165,86,77,20,56,0,162,2,2,3,756,107,3.77,1.221,8.2,1.0,2.8,8.1,2.89,,gausmke01
20,JP Sears*,28,OAK,AL,2.2,11,13,.458,4.38,32,32,0,0,0,0,180.2,172,93,88,28,49,0,137,14,1,0,758,90,4.71,1.223,8.6,1.4,2.4,6.8,2.80,,searsjp01
21,Bryce Miller,25,SEA,AL,3.4,12,8,.600,2.94,31,31,0,0,0,0,180.1,131,62,59,21,45,1,171,3,0,2,704,125,3.58,0.976,6.5,1.0,2.2,8.5,3.80,,millebr04
22,Brady Singer,27,KCR,AL,3.1,9,13,.409,3.71,32,32,0,0,0,0,179.2,175,77,74,22,54,0,170,10,0,2,762,111,3.93,1.275,8.8,1.1,2.7,8.5,3.15,,singebr01
23,Tyler Anderson*,34,LAA,AL,3.0,10,15,.400,3.81,31,31,0,0,0,0,179.1,158,83,76,24,73,2,142,7,1,3,765,110,4.66,1.288,7.9,1.2,3.7,7.1,1.95,AS,anderty01
24,Tanner Houck,28,BOS,AL,3.5,9,10,.474,3.12,30,30,0,1,1,0,178.2,156,75,62,11,48,1,154,16,0,2,743,133,3.32,1.142,7.9,0.6,2.4,7.8,3.21,AS,houckta01
25,Bailey Ober,28,MIN,AL,2.9,12,9,.571,3.98,31,31,0,1,0,0,178.2,136,81,79,27,43,0,191,6,0,1,709,105,3.82,1.002,6.9,1.4,2.2,9.6,4.44,,oberba01
26,Mitch Keller,28,PIT,NL,2.0,11,12,.478,4.25,31,31,0,1,0,0,178.0,182,90,84,23,50,0,166,15,2,1,773,99,4.08,1.303,9.2,1.2,2.5,8.4,3.32,,kellemi03
27,Chris Sale*,35,ATL,NL,6.2,18,3,.857,2.38,29,29,0,0,0,0,177.2,141,48,47,9,39,0,225,8,1,4,702,176,2.09,1.013,7.1,0.5,2.0,11.4,5.77,ASCYA-1MVP-7GG,salech01
28,Erick Fedde,31,2TM,2LG,5.6,9,9,.500,3.30,31,31,0,0,0,0,177.1,154,66,65,20,52,0,154,5,1,3,726,125,3.86,1.162,7.8,1.0,2.6,7.8,2.96,,feddeer01
28,Erick Fedde,31,CHW,AL,4.6,7,4,.636,3.11,21,21,0,0,0,0,121.2,105,43,42,14,34,0,108,2,1,2,502,132,3.77,1.142,7.8,1.0,2.5,8.0,3.18,,feddeer01
28,Erick Fedde,31,STL,NL,1.0,2,5,.286,3.72,10,10,0,0,0,0,55.2,49,23,23,6,18,0,46,3,0,1,224,112,4.05,1.204,7.9,1.0,2.9,7.4,2.56,,feddeer01
29,Framber Valdez*,30,HOU,AL,4.4,15,7,.682,2.91,28,28,0,1,0,0,176.1,140,60,57,13,55,0,169,6,1,8,703,137,3.25,1.106,7.1,0.7,2.8,8.6,3.07,CYA-7MVP-15,valdefr01
30,Yusei Kikuchi*,33,2TM,AL,1.4,9,10,.474,4.05,32,32,0,0,0,0,175.2,167,85,79,25,44,0,206,2,0,4,736,101,3.46,1.201,8.6,1.3,2.3,10.6,4.68,CYA-9,kikucyu01
30,Yusei Kikuchi*,33,TOR,AL,0.0,4,9,.308,4.75,22,22,0,0,0,0,115.2,125,63,61,17,30,0,130,2,0,2,497,87,3.66,1.340,9.7,1.3,2.3,10.1,4.33,,kikucyu01
30,Yusei Kikuchi*,33,HOU,AL,1.3,5,1,.833,2.70,10,10,0,0,0,0,60.0,42,22,18,8,14,0,76,0,0,2,239,148,3.07,0.933,6.3,1.2,2.1,11.4,5.43,,kikucyu01
