Date,Time,Away_Team,Home_Team,Away_Score,Home_Score
2026-03-25,,NYY,SFG,7,0
2026-03-26,,MIN,BAL,1,2
2026-03-26,,WSN,CHC,10,4
2026-03-26,,BOS,CIN,3,0
2026-03-26,,LAA,HOU,3,0
2026-03-26,,ARI,LAD,2,8
2026-03-26,,CHW,MIL,2,14
2026-03-26,,PIT,NYM,7,11
2026-03-26,,TEX,PHI,3,5
2026-03-26,,DET,SDP,8,2
2026-03-26,,CLE,SEA,6,4
2026-03-26,,TBR,STL,7,9
2026-03-27,,KCR,ATL,0,6
2026-03-27,,LAA,HOU,6,2
2026-03-27,,ARI,LAD,4,5
2026-03-27,,COL,MIA,1,2
2026-03-27,,DET,SDP,5,2
2026-03-27,,CLE,SEA,1,5
2026-03-27,,NYY,SFG,3,0
2026-03-27,,ATH,TOR,2,3
2026-03-28,,KCR,ATL,2,6
2026-03-28,,MIN,BAL,4,1
2026-03-28,,WSN,CHC,2,10
2026-03-28,,BOS,CIN,5,6
2026-03-28,,LAA,HOU,9,11
2026-03-28,,ARI,LAD,2,3
2026-03-28,,COL,MIA,3,4
2026-03-28,,CHW,MIL,1,6
2026-03-28,,PIT,NYM,2,4
2026-03-28,,TEX,PHI,5,4
2026-03-28,,DET,SDP,0,3
2026-03-28,,CLE,SEA,6,5
2026-03-28,,NYY,SFG,3,1
2026-03-28,,TBR,STL,5,6
2026-03-28,,ATH,TOR,7,8
2026-03-29,,KCR,ATL,4,1
2026-03-29,,MIN,BAL,6,8
2026-03-29,,WSN,CHC,6,3
2026-03-29,,BOS,CIN,2,3
2026-03-29,,LAA,HOU,7,9
2026-03-29,,COL,MIA,3,4
2026-03-29,,CHW,MIL,7,9
2026-03-29,,PIT,NYM,4,3
2026-03-29,,TEX,PHI,8,3
2026-03-29,,CLE,SEA,0,8
2026-03-29,,TBR,STL,11,7
2026-03-29,,ATH,TOR,2,5
2026-03-30,,DET,ARI,6,9
2026-03-30,,ATH,ATL,0,4
2026-03-30,,TEX,BAL,5,2
2026-03-30,,LAA,CHC,2,7
2026-03-30,,PIT,CIN,0,2
2026-03-30,,BOS,HOU,1,8
2026-03-30,,MIN,KCR,1,3
2026-03-30,,CLE,LAD,4,2
2026-03-30,,CHW,MIA,9,4
2026-03-30,,TBR,MIL,3,2
2026-03-30,,WSN,PHI,13,2
2026-03-30,,SFG,SDP,3,2
2026-03-30,,NYY,SEA,1,2
2026-03-30,,NYM,STL,4,2
2026-03-30,,COL,TOR,14,5
2026-03-31,,DET,ARI,5,7
2026-03-31,,ATH,ATL,5,2
2026-03-31,,TEX,BAL,8,5
2026-03-31,,LAA,CHC,2,0
2026-03-31,,PIT,CIN,8,3
2026-03-31,,BOS,HOU,2,9
2026-03-31,,CLE,LAD,1,4
2026-03-31,,CHW,MIA,2,9
2026-03-31,,TBR,MIL,2,6
2026-03-31,,WSN,PHI,2,3
2026-03-31,,SFG,SDP,9,3
2026-03-31,,NYY,SEA,5,0
2026-03-31,,NYM,STL,0,3
2026-03-31,,COL,TOR,1,5
2026-04-01,,DET,ARI,0,1
2026-04-01,,ATH,ATL,1,5
2026-04-01,,TEX,BAL,3,8
2026-04-01,,LAA,CHC,2,6
2026-04-01,,PIT,CIN,8,3
2026-04-01,,BOS,HOU,4,6
2026-04-01,,MIN,KCR,9,13
2026-04-01,,CLE,LAD,4,1
2026-04-01,,CHW,MIA,0,10
2026-04-01,,TBR,MIL,2,8
2026-04-01,,WSN,PHI,5,6
2026-04-01,,SFG,SDP,1,7
2026-04-01,,NYY,SEA,5,3
2026-04-01,,NYM,STL,1,2
2026-04-01,,COL,TOR,2,1
2026-04-02,,ATL,ARI,17,2
2026-04-02,,MIN,KCR,5,1
2026-04-02,,NYM,SFG,2,7
2026-04-03,,SEA,LAA,3,1
2026-04-03,,ATL,ARI,2,0
2026-04-03,,HOU,ATH,4,11
2026-04-03,,SDP,BOS,2,5
2026-04-03,,TOR,CHW,4,5
2026-04-03,,CHC,CLE,1,4
2026-04-03,,PHI,COL,10,1
2026-04-03,,STL,DET,0,4
2026-04-03,,TBR,MIN,4,10
2026-04-03,,MIA,NYY,2,8
2026-04-03,,BAL,PIT,4,5
2026-04-03,,NYM,SFG,10,3
2026-04-03,,CIN,TEX,5,3
2026-04-03,,LAD,WSN,13,6
2026-04-04,,SEA,LAA,0,1
2026-04-04,,ATL,ARI,1,2
2026-04-04,,HOU,ATH,11,0
2026-04-04,,SDP,BOS,3,2
2026-04-04,,TOR,CHW,3,6
2026-04-04,,PHI,COL,2,1
2026-04-04,,STL,DET,6,11
2026-04-04,,MIL,KCR,5,2
2026-04-04,,MIL,KCR,2,8
2026-04-04,,TBR,MIN,7,1
2026-04-04,,MIA,NYY,7,9
2026-04-04,,BAL,PIT,2,3
2026-04-04,,NYM,SFG,9,0
2026-04-04,,CIN,TEX,2,0
2026-04-04,,LAD,WSN,10,5
2026-04-05,,SEA,LAA,7,8
2026-04-05,,ATL,ARI,5,6
2026-04-05,,HOU,ATH,10,12
2026-04-05,,SDP,BOS,8,6
2026-04-05,,TOR,CHW,0,3
2026-04-05,,CHC,CLE,1,0
2026-04-05,,CHC,CLE,5,6
2026-04-05,,PHI,COL,1,4
2026-04-05,,STL,DET,5,3
2026-04-05,,MIL,KCR,8,5
2026-04-05,,TBR,MIN,4,1
2026-04-05,,MIA,NYY,7,6
