Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,Pos'n,Salary,2024 ,Role,League,Division,PA,Teams,Leagues,IP_Dec,BIP,Years_Included,Projection_Method,IP_True,AB,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR
218906952809208616391802039394074324692,Logan Webb,28,SFG,3.9,15,11,3.340001606636205,34,34,0,0,0,198.11655215987238,193.7574724482211,82,73.62421475385973,14,61.077005953055064,201.7791381432446,0,0,2,1.2845223848824976,2026,rhp-s,4,"$8,000,000 ",Pitcher,NL,West,850.0,['SFG'],['NL'],207.0,613.0,"[2023, 2024, 2025]",Trend,198.38850719957463,788.757472448221,0,0,0.2998052687073837,254.83447840127616,594.3496564796171,24.976003967085095,0,100,Active,0,0,0,0,0.0,0,0,0.0,-2.4760407158189595
112079525595244582850114200148831025259,Zac Gallen,29,ARI,1.1,13,15,3.866176981949807,33,33,0,0,0,192.1800979065164,172.93298090062476,109,82.73632760777035,31,71.26604003421124,188.21843584595888,0,0,2,1.2679055407448283,2026,rhp-s,4,"$10,011,000 ",Pitcher,NL,West,822.0,['ARI'],['NL'],192.0,581.0,"[2023, 2024, 2025]",Trend,192.60032635505468,750.9329809006248,0,0,0.29707910089396106,244.199020934836,576.5402937195493,24.870888322860157,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7059572500993887
293153207132467411019115554011984160921,Miles Mikolas,36,STL,0.3,8,11,6.2459902555111,31,31,0,0,0,141.2198289457481,170.62281547775132,87,98.36238417079316,29,54.17889506476759,78.78227015416785,0,0,1,1.586095589631942,2026,rhp-s,7,"$17,666,667 ",Pitcher,NL,Central,650.0,['STL'],['NL'],156.33329999999998,541.0,"[2023, 2024, 2025]",Trend,141.7327631524937,595.6228154777514,0,0,0.34584878545002906,224.8017105425189,423.65948683724434,20.918103141282685,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.235705636958698
214993367207881287726518102837965426548,Chris Bassitt,36,TOR,2.1,11,9,4.8957393806626675,32,31,1,0,0,166.11744729878168,180.90291584021725,80,90.51215278622178,22,69.92261117196588,131.88673476676976,0,3,4,1.5074420303037306,2026,rhp-s,7,"$22,000,000 ",Pitcher,AL,East,750.0,['TOR'],['AL'],170.33329999999998,532.0,"[2023, 2024, 2025]",Trend,166.39149099593897,679.9029158402172,0,0,0.33443403601624416,250.82552701218313,498.352341896345,23.411808403391504,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7485242790377051
276924044904130283584024553515233883168,Framber Valdez,31,HOU,3.8,13,11,3.4228614243515603,31,31,2,0,0,193.29335371709948,170.71433453754838,82,73.77325392292786,15,69.35212829145702,182.9956802735033,0,1,12,1.2375973242377223,2026,lhp-s,4,"$12,100,000 ",Pitcher,AL,West,822.0,['HOU'],['AL'],192.0,567.0,"[2023, 2024, 2025]",Trend,193.9778457236649,752.7143345375484,0,0,0.2920516579428289,240.0664628290054,579.8800611512984,26.44988787033238,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.5170683612104998
287003811626651901159013285640564060807,Luis Castillo,32,SEA,2.1,11,8,3.6539060124424627,32,32,0,0,0,179.08193214356004,168.50615354688614,76,72.78300934078763,23,56.67452501751335,171.73269642332582,0,0,3,1.256076174225156,2026,rhp-s,6,"$24,150,000 ",Pitcher,AL,West,763.0,['SEA'],['AL'],180.66659999999996,555.0,"[2023, 2024, 2025]",Trend,179.27310714520016,706.5061535468861,0,0,0.29512539785635583,225.1806785643995,537.2457964306801,23.825827343596238,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.9568989978074005
338008446176538542889699769905548246399,Mitch Keller,29,PIT,1.4,6,15,4.252989127938854,32,32,0,0,0,178.2340427562288,167.2913166822608,91,84.48333360357358,21,57.368255755451216,162.98288834887262,0,0,5,1.256624864876261,2026,rhp-s,4,"$5,854,000 ",Pitcher,NL,Central,761.0,['PIT'],['NL'],176.33329999999998,560.0,"[2023, 2024, 2025]",Trend,178.78014252076264,703.2913166822608,0,0,0.2952162581310277,224.65957243771203,534.7021282686865,23.730053147074955,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.4143354431033108
200632529582238833751622507721868473243,Pablo López,29,MIN,2.1,5,4,3.6250579153404465,14,14,0,0,0,169.18529721799376,139.95565691311467,28,68.31931461279243,6,51.19137090694761,176.15545114544028,0,2,1,1.1269288277978453,2026,rhp-s,5,"$8,250,000 ",Pitcher,AL,Central,700.0,['MIN'],['AL'],75.6666,222.0,"[2023, 2024, 2025]",Trend,169.61765739331258,648.9556569131147,0,0,0.27306718260008894,191.14702782006228,507.5558916539813,49.90735139100311,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.21146304000736937
14990678815731014196898123011536589329,Corbin Burnes,30,ARI,1.9,3,2,3.0638765179600957,11,11,0,0,0,168.14261341509206,133.6156737989332,23,57.35419496253165,7,60.958192050146295,158.06178860459426,0,2,1,1.1549098040366446,2026,rhp-s,5,"$15,637,500 ",Pitcher,NL,West,700.0,['ARI'],['NL'],64.33329999999998,182.0,"[2023, 2024, 2025]",Trend,168.47537805030683,638.6156737989331,0,0,0.277962665498685,194.57386584907948,504.4278402452762,63.54560964494142,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.8437692490842956
196112672296838564746424125141733703839,Aaron Nola,32,PHI,-0.3,5,10,4.630383615474678,17,17,0,0,0,161.12998128768191,161.4546527560784,65,83.05533031563982,18,54.245534367102536,156.49794212962962,0,0,1,1.3361569510540607,2026,rhp-s,8,"$24,571,429 ",Pitcher,NL,East,700.0,['PHI'],['NL'],94.33329999999998,289.0,"[2023, 2024, 2025]",Trend,161.4332709589397,645.4546527560784,0,0,0.308143124461687,215.7001871231809,483.38994386304574,41.12294888154275,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.174175460132623
242591739485461050525040341076291548541,Kyle Gibson,37,BAL,-1.1,0,3,8.28437701355528,4,4,0,0,0,15.262392486996518,18.504263585348276,23,14.612390684741602,7,8.871811544686539,10.05466243910657,0,0,1,1.724516104339396,2026,rhp-s,10,"$12,000,000 ",Pitcher,AL,East,75.0,['BAL'],['AL'],12.3333,56.0,"[2023, 2024, 2025]",Trend,15.874641623321729,66.50426358534827,0,0,0.3650143350671308,27.376075130034813,45.787177460989554,18.29081314775609,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.36734881049526824
226897916307641009040934671048722819339,Zack Wheeler,35,PHI,5.0,10,5,3.707914556955416,24,24,1,0,0,161.2061587317774,154.42752155917873,48,66.61358965316573,19,60.51089112304731,171.52692233398696,0,0,2,1.3293471487039155,2026,rhp-s,10,"$23,500,000 ",Pitcher,NL,East,700.0,['PHI'],['NL'],149.66659999999996,369.0,"[2023, 2024, 2025]",Trend,161.6871957725913,639.4275215591788,0,0,0.30705487526032293,214.93841268222604,483.6184761953322,29.10653703656493,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.9405327572723037
231369128216524093498049139513562818515,Logan Gilbert,28,SEA,2.1,6,6,3.4810398890428247,25,25,0,0,0,171.06512037201531,136.41857913562131,53,66.22371589647092,20,49.93021714422558,199.5740824759197,0,0,10,1.0883774530082087,2026,rhp-s,2,"$4,050,000 ",Pitcher,AL,West,700.0,['SEA'],['AL'],131.0,331.0,"[2023, 2024, 2025]",Trend,171.2170679067177,650.4185791356213,0,0,0.266212566114067,186.3487962798469,513.1953611160459,27.981766295835715,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.9572474524694319
50397370415003096887420499612310825047,George Kirby,27,SEA,0.8,10,8,3.6581037505690275,23,23,0,0,0,164.2641176746322,157.71916224436438,60,67.01662014228137,15,47.63966100931382,174.42348370473346,0,0,3,1.2455017874037433,2026,rhp-s,1,"$798,600 ",Pitcher,AL,West,700.0,['SEA'],['AL'],126.0,369.0,"[2023, 2024, 2025]",Trend,164.88039224877392,652.7191622443644,0,0,0.29336974750525463,205.3588232536782,492.79235302389657,30.354398968590207,0,100,Active,0,0,0,0,0.0,0,0,0.0,-2.1264788898221685
89055503533469720797918363298301662918,José Berríos,31,TOR,1.3,9,5,3.8486145138464973,31,30,0,0,0,169.0053323364013,157.87257256019592,86,72.27602887380894,26,56.07410407579111,136.62076456064756,0,1,1,1.2658235343961743,2026,,740000,,,AL,East,721.0,['TOR'],['AL'],166.0,527.0,"[2023, 2024, 2025]",Trend,169.01777445467098,664.872572560196,0,0,0.29673602862134124,213.94667663598705,507.0159970092039,23.25686044016745,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.11707183544472621
73234253507158700641326299007821856903,Jordan Montgomery,31,ARI,-1.4,8,7,4.191602744394032,25,21,0,0,1,123.09743475035688,133.92244999328136,83,57.436499642642616,14,42.10320250314975,98.07119145660377,0,0,7,1.4273339788353823,2026,lhp-s,6,"$25,000,000 ",Pitcher,NL,West,546.0,['ARI'],['NL'],117.0,419.0,"[2023, 2024]",Trend,123.32478250118963,503.92244999328136,0,0,0.32239130493851853,176.02565249643112,369.2923042510706,21.81271826990007,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.0
294400391395665697006864615322710197330,Spencer Strider,26,ATL,1.0,7,14,4.10322237282886,23,23,0,0,0,133.03973207994824,109.07585840879692,63,60.696889716753404,20,50.52682079172056,177.9402749391979,0,1,1,1.1988263632893474,2026,rhp-s,2,"$1,000,000 ",Pitcher,NL,East,559.0,['ATL'],['NL'],125.33329999999998,377.0,"[2023, 2025]",Trend,133.13244026649417,508.07585840879693,0,0,0.2855146318435018,159.60267920051749,399.1191962398447,24.29225545392879,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.3160516596567713
234875434716038137103550097859183445507,Kevin Gausman,34,TOR,3.8,10,11,4.032247052409891,32,32,1,1,0,181.29726807677886,174.82359926636414,79,81.5369160267497,21,66.20371996584726,169.48967507133048,0,2,1,1.3243921961072869,2026,rhp-s,9,"$24,000,000 ",Pitcher,AL,East,787.0,['TOR'],['AL'],193.0,548.0,"[2023, 2024, 2025]",Trend,181.99089358926287,720.8235992663641,0,0,0.3062608884780323,241.0273192322114,543.8918042303366,24.528722608204625,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.318777629295508
244330477074860976492387142991655192103,Sandy Alcantara,29,MIA,0.0,11,12,4.583886142631745,31,31,0,0,0,177.07048784749708,165.98118941774936,107,90.269430533745,22,57.3139321072797,143.05637420178795,0,2,8,1.2598819226493536,2026,rhp-s,5,"$9,300,000 ",Pitcher,NL,East,755.0,['MIA'],['NL'],174.66659999999996,556.0,"[2023, 2025]",Trend,177.23495949165695,697.9811894177494,0,0,0.2957551278477207,223.29512152502906,531.2114635424912,24.338922098952267,0,100,Active,0,0,0,0,0.0,0,0,0.0,-2.2466433892973505
158987175896159412710605144132786067377,Lucas Giolito,30,BOS,2.1,10,4,4.428908714174521,26,26,0,0,0,145.21041412532338,129.75630500183357,62,71.6997903777118,17,56.13955374493248,140.47803877014925,0,0,4,1.275868891658944,2026,rhp-s,6,"$18,000,000 ",Pitcher,AL,East,623.0,['BOS'],['AL'],145.0,446.0,"[2023, 2025]",Trend,145.70138041774464,566.7563050018335,0,0,0.2983882162869439,185.89585874676604,435.63124237597015,23.904888504720624,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.26326723878489466
